N,data_type,method,iterations,warmup,cpu_threads,requested_zero_probability,nnz_a,actual_sparsity_a,h2d_ms,h2d_stdev_ms,compute_ms,compute_stdev_ms,d2h_ms,d2h_stdev_ms,total_gpu_ms,total_gpu_stdev_ms,total_wall_ms,total_wall_stdev_ms,launch_overhead_us,launch_overhead_stdev_us,setup_ms,compute_gops,end_to_end_gops,verified,max_abs_error,max_rel_error,checked_elements,device_name,compute_capability,notes
256,int,cuda_naive,5,2,2,0,56251,0.141677856445,0.0509183995426,0.00023980837715,0.0917824015021,0.00134177353919,0.0266176000237,0.00319791257819,0.178579196334,0.00471022491817,0.1860014,0.00483287204879,3.1252,0.500681695292,1.313205,365.586773181,187.896645796,1,0,0,65536,Tesla T4,7.5,Native CUDA one-thread-per-output-element kernel.
256,int,cuda_tiled_shared,5,2,2,0,56251,0.141677856445,0.0508543998003,8.19606143229e-05,0.0642751991749,0.000291604111723,0.0256064005196,0.000536761504356,0.150163197517,0.000431512931327,0.1571668,0.000485788184298,3.0824,0.132034237984,0.857297,522.043220881,223.453100059,1,0,0,65536,Tesla T4,7.5,Native CUDA tiled kernel; 16x16 blocking and shared-memory reuse.
256,int,cublas_int_via_fp64,5,2,2,0,56251,0.141677856445,0.0932159990072,0.000417228588034,0.271609604359,0.00249759537567,0.0465535998344,0.000361131546632,0.420627200603,0.00241828956923,0.4278094,0.0023329914359,11.8778,1.11164641861,19.240435,123.539195454,79.7723778963,1,0,0,65536,Tesla T4,7.5,INT32 emulation through FP64 cuBLAS DGEMM. Exact only while integer sums remain below 2^53; input range is intentionally small.
256,int,cusparse_int_via_fp64,5,2,2,0,56251,0.141677856445,0.110848000646,0.000577067265435,0.216863998771,0.00286345338676,0.0498624004424,0.000401928532059,0.386803209782,0.00329240113203,0.39439,0.00327725238577,8.8492,0.40136088499,7.445976,154.72569071,86.7480702111,1,0,0,65536,Tesla T4,7.5,"INT32 emulation through FP64 cuSPARSE SpMM; integer values are converted to double. Host dense-to-CSR conversion is reported in setup_ms, not in CUDA-event total time."
512,int,cpu_naive,5,2,2,0,224845,0.142284393311,0,0,260.8823036,9.01509080909,0,0,0,0,260.8823036,9.01509080909,0,0,0,1.02895233711,1.02895233711,1,0,0,262144,Tesla T4,7.5,Native scalar triple-loop CPU implementation.
512,int,cpu_blocked_mt,5,2,2,0,224845,0.142284393311,0,0,43.1656722,0.520768072127,0,0,0,0,43.1656722,0.520768072127,0,0,0,6.21872525826,6.21872525826,1,0,0,262144,Tesla T4,7.5,Native blocked multi-threaded CPU implementation using std::thread; no BLAS library.
512,int,cuda_naive,5,2,2,0,224845,0.142284393311,0.184262400866,0.00512785072759,1.14640638828,0.00307336000225,0.0843839988112,0.000791118939273,1.42521600723,0.00582306151622,1.437306,0.00575186623622,4.9846,1.6195724868,2.620051,234.153838241,188.347208169,1,0,0,262144,Tesla T4,7.5,Native CUDA one-thread-per-output-element kernel.
512,int,cuda_tiled_shared,5,2,2,0,224845,0.142284393311,0.17824639976,0.000211681670262,0.754150402546,0.000998565122093,0.0878911986947,0.000878130547914,1.03061761856,0.00067651628889,1.0387248,0.000735227148298,4.4044,2.05314320981,1.979357,355.944192423,260.460767569,1,0,0,262144,Tesla T4,7.5,Native CUDA tiled kernel; 16x16 blocking and shared-memory reuse.
512,int,cublas_int_via_fp64,5,2,2,0,224845,0.142284393311,0.351321601868,0.0027673894511,3.69008636475,0.00370950135057,0.16862719655,0.00473178723898,4.22050571442,0.00184905795516,4.2321156,0.00368555323331,32.3548,17.1474414115,21.94906,72.74503344,63.6026756422,1,0,0,262144,Tesla T4,7.5,INT32 emulation through FP64 cuBLAS DGEMM. Exact only while integer sums remain below 2^53; input range is intentionally small.
512,int,cusparse_int_via_fp64,5,2,2,0,224845,0.142284393311,0.40403200388,0.00151789107537,2.96640639305,0.000740145239534,0.166598397493,0.00120677170915,3.54783358574,0.00296744110824,3.556766,0.00302173374124,10.3554,0.743857136821,13.178868,90.4918006612,75.661794589,1,0,0,262144,Tesla T4,7.5,"INT32 emulation through FP64 cuSPARSE SpMM; integer values are converted to double. Host dense-to-CSR conversion is reported in setup_ms, not in CUDA-event total time."
